hasData,relatedQueries,geo,query,date,isPartial,formattedValue,value
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-07-04,False,54,54
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-07-11,False,58,58
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-07-18,False,58,58
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-07-25,False,62,62
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-08-01,False,64,64
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-08-08,False,64,64
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-08-15,False,66,66
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-08-22,False,73,73
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-08-29,False,70,70
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-09-05,False,73,73
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-09-12,False,78,78
True,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",mumbai,bakery,2025-09-19,False,82,82
