reviews,latitude,longitude,type,thumbnail,description,address,hours,rating,website,phone,price_level,position,name
15,19.0635266,74.76402279999999,Bakery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noZ3yrOoBG109NXlfbeBKBoBN26kbPXwUE75bUBwl83qsf-wvhl49RelOmrxLFVXP3kZXZTWgpnMGBhPlqOVyQGu3XbDGmeCYcD0-zF5MZdA3BUyXVGzo0OVYFk1YzlQvviw1r0vg=w80-h170-k-no,,"Shop No, 1, Ahilyanagar - Solapur Rd, Wakodi Phata, Ahilyanagar, Maharashtra 414002, India",,3.9,,086055 34007,0,1,R K s Shivraj Bakers
161,19.0811867,74.7358804,Cake shop,https://lh3.googleusercontent.com/p/AF1QipNMMRUF5gPgAh1I9eyMNHuDmYfkgbwnneJmmJkG=w197-h92-k-no,,"Shop No 1, Chankya Chowk, Burudgaon Rd, opp. Bhagirathi Hospital, Maniknagar, Ahilyanagar, Maharashtra 414001, India",Closed ⋅ Opens 9 AM Fri,4.9,,088033 35555,0,2,"Caramella's Cake Shop | Chanakya Chauk, Ahilyanagar."
1584,19.1471723,74.6929011,Bakery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqSR34BzSIXMmeflWUkhIFLHaJQ782eGAOIGbXGacjLwNxLnKkBx6v1RNbndgj-XLNvolKLAV06qd7mUScBNTHHeVzoGzKzX4_yNf5M6sVcyRHVTHuhoQphLi5F4m92B_xsABZ9sw=w163-h92-k-no,"Vibrant stop offering custom cakes. Colourful cakes, pastries & snacks are turned out at a bright, counter-service location.","Sahib Bakers, lamkheda chowk, A/65/ 1, near Sahib cold storage, MIDC, Nagapur, Nimblak, Maharashtra 414111, India",Closed ⋅ Opens 8 AM Fri,4.4,,099230 31111,0,3,Sahib Bakers
1,19.0967749,74.74389579999999,Bakery,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=r_PGA2OiDayBMcKkjDwmFg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=27.5456&pitch=0&thumbfov=100,,"Nalsaheb Chowk, Zendigate, Ahmednagar, Nalegaon, Ahilyanagar, Maharashtra 414001, India",,5.0,,098500 90785,0,4,CROWN BAKERS
3,19.0965746,74.7684548,Bakery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqGBH70NynGeRmwx5tMXE3JS8TFEJcrkwQF9epq8yC12BbUxKiTkt_P1qyk8K19XPHGQZzeW0iKTa0ER6Yv64x3XxLfIgBRWCMtYl97VpizIJgZOHbOi_--IstfqO2hJ4E9UIsn=w201-h92-k-no,Contemporary sweetshop & snack chain. Popular Indian sweets and global snack dishes are sold at this casual chain restaurant.,"Ahilyanagar - Beed Rd, Bhingar, Ahilyanagar, Maharashtra 414002, India",,5.0,,095959 57821,2,5,Bikaner Sweet
10,19.0957344,74.74091039999999,Bakery,https://lh3.googleusercontent.com/p/AF1QipMNqb0ProNFm1yESgO_LFI4DNZwcn4lis7aQTu-=w80-h142-k-no,,"Mathura Land Complex, 2993/94, Saraf Bazaar Rd, Nalegaon, Ahilyanagar, Maharashtra 414001, India",Closed ⋅ Opens 7 AM Fri,5.0,,098909 06853,0,6,New Prabhat Breads
1,19.0961786,74.76692419999999,Bakery,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NvItvNWNBAdBSp-oA2HDBA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=221.73894&pitch=0&thumbfov=100,,"Bhingar, Ahilyanagar, Maharashtra 414002, India",,5.0,,095884 32488,0,7,AsBakers
75,19.0978552,74.7312335,Cake shop,https://lh3.googleusercontent.com/p/AF1QipPDLJSQKYlqC1pGD__7_BibXHgPQl2tKDLRH_i1=w204-h92-k-no,,"Shop No 01, Delhi Gate Rd, Bagroja Hudco Colony, Sarjepura city, Ahilyanagar, Maharashtra 414001, India",,5.0,,082086 33008,0,8,Kekiz Cake Shop
6,19.1109874,74.7549744,Bakery,https://lh3.googleusercontent.com/p/AF1QipP61AYMrHcAU3h-Ek4zd0hViuVL_gLPTMh0uf3n=w80-h106-k-no,,"Nm Complex, CIV Housing Society, Darbar Chowk, Ahilyanagar, Darga Daira, Maharashtra 414001, India",,5.0,,084849 08259,0,9,Hayat Bakery
0,19.0672325,74.71268479999999,Bakery,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wXmiqhtVHF4Y5gPpA5EpyQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=161.23186&pitch=0&thumbfov=100,,"Rangoli Hotel Chowk, Bombay Bakery, Pune - Ahilyanagar Hwy, Kedgaon, Ahilyanagar, 414005, India",,0,,,0,10,Bombay Bakery
29,19.0969077,74.7369531,Bakery,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xZM6J3iCV6B3wvIGCwVKHw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=112.54859&pitch=0&thumbfov=100,,"Neta Subhash Chowk, Besides Loda Heights, Chitale Rd, in front of asha bhel, Maharashtra 414001, India",Closed ⋅ Opens 7 AM Fri,4.9,,092708 61441,0,11,Alpana Bakery
47,19.1303909,74.73123029999999,Bakery,https://lh3.googleusercontent.com/p/AF1QipPGN9Dj5jDPS3GsjKsVXEMkffT9kiNMd0_t7WtB=w122-h92-k-no,,"Bhistabag, near Crown plaza, Savedi, Ahilyanagar, Maharashtra 414001, India",Closed ⋅ Opens 9:30 AM Fri,4.9,,072087 46949,0,12,Hemraj Foods ( WS Bakers)
0,19.1356026,74.7023008,Bakery,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pmda4FhOwMssyH2OCgTaBA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=341.33994&pitch=0&thumbfov=100,,"4PP2+6WV, Bolhegaon Rd, Venkatesh Colony, MIDC, Ahilyanagar, Maharashtra 414111, India",,0,,,0,13,Cake Point and Bakery
