phone,longitude,price_level,rating,position,reviews,name,type,latitude,address,description,hours,thumbnail,website
(410) 290-7655,-76.8433376,0,4.6,1,614,Bonheur Patisserie & Deli,Chinese bakery,39.1777459,"7106 Minstrel Way suite e, Columbia, MD 21045",,Open ⋅ Closes 8 PM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np7AQwCInQxwxCuTcboo1EYRlVADvdF85pQGmO5XIbHxKIqVmrkCaU8QAHiXh1WdMUbsIESRgF5Z-tiL726wkxtHU0NCyaexZDfNcN99coKhYxQzT7_Vtmh2nvL3u9pnQ_1PUw=w122-h92-k-no,
(301) 836-1274,-76.8274653,0,4.9,2,230,AppleCore's Bake Shoppe,Bakery,39.1805544,"6945 Oakland Mills Rd Suite A, Columbia, MD 21045",,Open ⋅ Closes 6 PM,https://lh3.googleusercontent.com/p/AF1QipOgQOgG7gcbZ__4dDrdBrijASEbT--bwI20W-lU=w80-h106-k-no,https://www.applecorebakes.com/
(410) 997-9338,-76.871123,0,4.5,3,286,Touche Touchet Bakery and Pastry Shoppe,Bakery,39.1841774,"10400 Shaker Dr, Columbia, MD 21046","Special-occasion cakes & sandwiches. Bakery & cafe providing custom cakes, pastries & cupcakes, plus sandwiches & coffee.",Open ⋅ Closes 4 PM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr8g9eMugEugaBJdeklhgAxjrUeqsILEuR5pzJnnTcX468abHzN2yabRU7313ZjvL-J9BWkczTCnWmJS9RqJv_L9vCs1nNiUgKgXVkgtXMdI0ObRw8Q8R35rIBkeGSIUaAJYCYCEQ=w122-h92-k-no,http://www.touchetouchetbakery.com/
(410) 696-9150,-76.8004806,0,4.9,4,85,Icing On The Cake Maryland,Bakery,39.209882,"8205 Snowden River Pkwy Suite D, Columbia, MD 21045",,Open ⋅ Closes 7 PM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzLpV-qOfG4fiS1M08yjMa6Mnw2OncbwGVJP6QmX9vVwiwRlIN2FSLoR6J1RwOQH2RjhVChnKtQBlMqwVnNKSLwXvgM2rGtGyMqjopEqMpJXKX9kkX7Y39cayg3nIMDF3IHM6u1A=w80-h106-k-no,https://columbiacakes.com/
(667) 359-8029,-76.818317,0,4.5,5,126,Tous Les Jours,Bakery,39.1909646,"8865 Stanford Blvd, Columbia, MD 21045",,Open ⋅ Closes 8 PM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npytkAbe41GECjPi7OIoZAbflfi17v30pAnKPLUkqGbtTuFWzeKV_BS-dBFiLrPMffXUrqI_X69XiqxV34rMZU5jI1X_SSVzaLQwIvWtYN_LVB7wjoGbmJ8ZeNTZhVO-V1l8L0KdAUSgGOH=w122-h92-k-no,https://tljus.com/
(410) 381-3131,-76.82487379999999,2,4.6,6,261,"Oh, What A Cake!",Bakery,39.1874403,"6656 Dobbin Rd, Columbia, MD 21045","Special-occasion cupcakes & other treats. Storefront bakery offering custom-made cupcakes & wedding cakes, plus brownies, cake pops & cookies.",Open ⋅ Closes 4 PM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npBAGvjkOFTkSGcJjGdy-5ZWuTWphriOsFHQ2ab_exHLrUoMAqX7GkfnYodgKF949WnuTkpkwWk7FDf_cGaj8vdNUepnI1VA6mXcBT0ntR3vuCkuyLKCNJDf2H9awxw09INy58yGw=w122-h92-k-no,http://www.ohwhatacake.com/
(443) 583-7854,-76.8199394,0,4.3,7,1079,"Roggenart European Bakery, Bistro & Cafe",Bakery,39.1992671,"6476 Dobbin Center Way, Columbia, MD 21045",,Open ⋅ Closes 7 PM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noUvMV0wtq3l3zECyk3N1D6SqS088XD6lZ0rE6BaPwe8L7ByDMpPqQddgEfE3bIiPfpGLw2_PU3szB-fFBzg9IrhQ09WTouf8blJB7vG07r6mbZTvi5FqylXtNZ9mW2q--aLUbA=w122-h92-k-no,https://roggenart.com/locations/columbia/
(410) 461-6301,-76.834775,0,4.5,8,1115,Tous Les Jours Bakery Cafe,Bakery,39.2784118,"9380 Baltimore National Pike #111, Ellicott City, MD 21042","Source for French-Asian bakery goods. French-Asian bakery offering a range of breads, plus sweet & savory baked goods & beverages.",Open ⋅ Closes 9 PM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqmnqnb9OXaq9W2qHKDMbhABz0_R8gMhem0p872SWFdOA61hsYDDwASjHWzqkBT4zEA8ff_QXLxi5Fjumcj4Bbn0XV-6-eYHHf6Km7pisXg9VEzbNCey8OYAvZGt-NAtmmDzzdF=w122-h92-k-no,https://www.tljus.com/
(410) 901-3200,-76.8183767,2,4.0,9,127,Smallcakes,Bakery,39.1909103,"8865 Stanford Blvd, Columbia, MD 21045",,Open ⋅ Closes 9 PM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no6a9V69rGRl15bpt4wSg89W2_LGsWMHKY6UbnqZatuoh9psnBfSCytyEvQuCU-AIsrAEmtHvrxV3lJyPU4_4cOOewiYPaqUEyboKHYUbKhF3VgIh25AT1R5DsyNzQHiFqAMuYA0g=w80-h142-k-no,http://hococupcakes.com/
(443) 552-3033,-76.78256669999999,0,4.7,10,602,Kupcakes & Co.,Bakery,39.2097279,"6010 Meadowridge Center Dr suite h, Elkridge, MD 21075","Pink-walled bakery with cakes & cupcakes. Unassuming pink-walled bakery offering a rotating menu of cupcakes, plus custom cakes.",Open ⋅ Closes 6 PM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrFEqCLbzkLABMozbjnaEB7DcZq5iiVoUjxEqb1_CYl5jI9Zf6M0k9h_Fdun5URfhf56kL_L5d9rN0l00XQu1ReIaIVIihr5FyoSnr3OcjgyL9e33iTiPQTbQbNuw_grWwN3Ea5Zg=w80-h106-k-no,http://www.kupcakesco.com/
(443) 542-5912,-76.8147393,0,4.5,11,292,Great Harvest Bread Company,Bakery,39.2281274,"8835 Centre Park Dr # 104, Columbia, MD 21045",Bakery chain serving whole-grain breads. Bakery chain specializing in whole-grain breads & muffins made with Montana wheat.,Open ⋅ Closes 4 PM,https://lh3.googleusercontent.com/p/AF1QipMTS1jIqY8BfwlKouqbi-NmC1po3smT1_SSaaqr=w122-h92-k-no,http://www.greatharvestcolumbia.com/
(443) 797-2494,-76.77507299999999,0,4.7,12,32,Little Boy Bakery,Bakery,39.1815899,"7951 Blue Stream Dr, Elkridge, MD 21075",,Open ⋅ Closes 7 PM,https://lh3.googleusercontent.com/p/AF1QipMoMszZI8iPqN_OQCJnXVQGcKQo-sKTAgSvi0ll=w80-h99-k-no,https://littleboybakery.com/
(443) 592-3107,-76.77311639999999,0,4.3,13,298,Touche Touchet Bakery & Cafe,Bakery,39.192450699999995,"6501-6515 Huntshire Dr, Elkridge, MD 21075",,Closed ⋅ Opens 7 AM Fri,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np7nqfYsYZ80RFW4ITGqhCQGvJieGwPTmdAvcrtOIiZfpENuOKH-NmwEP6UorGKEiFEqoyw7MGinWVUtV6DnHwqattJSLGI_eb2bSrMhb-CZ6wnGPRZNX8x1LqK-JjLZ_3LttQIMg=w163-h92-k-no,http://www.touchetouchetcafe.com/
088033 35555,74.7358804,0,4.9,1,161,"Caramella's Cake Shop | Chanakya Chauk, Ahilyanagar.",Cake shop,19.0811867,"Shop No 1, Chankya Chowk, Burudgaon Rd, opp. Bhagirathi Hospital, Maniknagar, Ahilyanagar, Maharashtra 414001, India",,Closed ⋅ Opens 9 AM,https://lh3.googleusercontent.com/p/AF1QipNMMRUF5gPgAh1I9eyMNHuDmYfkgbwnneJmmJkG=w197-h92-k-no,
097628 56158,74.7538351,0,5.0,2,407,Harsh’S Kitchen (Homemade Cakes),Cake shop,19.1269246,"near City Lawn, behind Taj Garden, Dasarenagar, Ahilyanagar, Maharashtra 414003, India",,Closed ⋅ Opens 10 AM,https://lh3.googleusercontent.com/p/AF1QipOr1Yo-i51pMU6GIr9T6O7FpvhIlN3nPS-jChW_=w80-h106-k-no,https://www.instagram.com/harshkitchen/
099230 31111,74.6929011,0,4.4,3,1584,Sahib Bakers,Bakery,19.1471723,"Sahib Bakers, lamkheda chowk, A/65/ 1, near Sahib cold storage, MIDC, Nagapur, Nimblak, Maharashtra 414111, India","Vibrant stop offering custom cakes. Colourful cakes, pastries & snacks are turned out at a bright, counter-service location.",Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noyW8Tob1_uIQj0LGwdYS87rdtJ4NQ-wKMvoRJD9pkapDrFDsvMmVZidgYV-9pGb3cTIiqAkt-Kh3HaslsbJSNrWSDf2ab6ubBe7kI2NHP1mTOmy9R4vF827LfbV0zT0EgPrA=w122-h92-k-no,
084006 47474,74.7390168,0,4.9,4,280,Lokseva Sweets & Cake shop,Bakery,19.0968088,"Shop No. 1, Mg Road, Teli Khunt Rd, Kapad Bazar, Nalegaon, Ahilyanagar, Maharashtra 414001, India",,Closed ⋅ Opens 9 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npshcslEnjZHkp9aAZpxT0Zb5n6tqga6Vo56GQ0ENcQfjdMPuxS6P6Hv5itXyV1SYPdAbQ0Sgav7YxwsGYhGc0OHr-JK6oUM84JGv_iYV_z8rYl1NU99is7aWgttbRbrcq_h4IV17w_JUID=w122-h92-k-no,
,74.7439127,0,5.0,5,40,Suja's Cake,Cake shop,19.1240567,"parijat chowk, Gulmohar road, 103, santchhaya appart, opp. Kohinoor Mangal karyalay, Savedi, Maharashtra 414003, India",,,https://lh3.googleusercontent.com/p/AF1QipNTlOJaKpN-owOyV2GrWhzXmVA2g36rLMMfpB-b=w101-h92-k-no,
092708 61441,74.7369531,0,4.9,6,29,Alpana Bakery,Bakery,19.0969077,"Neta Subhash Chowk, Besides Loda Heights, Chitale Rd, in front of asha bhel, Maharashtra 414001, India",,Closed ⋅ Opens 7 AM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xZM6J3iCV6B3wvIGCwVKHw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=112.54859&pitch=0&thumbfov=100,
