date,value,query,has_data,formatted_value
"Sep 29 – Oct 5, 2024",76,bakery,True,bakery
"Oct 6 – 12, 2024",73,bakery,True,bakery
"Oct 13 – 19, 2024",72,bakery,True,bakery
"Oct 20 – 26, 2024",94,bakery,True,bakery
"Oct 27 – Nov 2, 2024",79,bakery,True,bakery
"Nov 3 – 9, 2024",72,bakery,True,bakery
"Nov 10 – 16, 2024",75,bakery,True,bakery
"Nov 17 – 23, 2024",74,bakery,True,bakery
"Nov 24 – 30, 2024",75,bakery,True,bakery
"Dec 1 – 7, 2024",73,bakery,True,bakery
"Dec 8 – 14, 2024",82,bakery,True,bakery
"Dec 15 – 21, 2024",83,bakery,True,bakery
"Dec 22 – 28, 2024",100,bakery,True,bakery
"Dec 29, 2024 – Jan 4, 2025",91,bakery,True,bakery
"Jan 5 – 11, 2025",74,bakery,True,bakery
"Jan 12 – 18, 2025",71,bakery,True,bakery
"Jan 19 – 25, 2025",74,bakery,True,bakery
"Jan 26 – Feb 1, 2025",71,bakery,True,bakery
"Feb 2 – 8, 2025",67,bakery,True,bakery
"Feb 9 – 15, 2025",76,bakery,True,bakery
"Feb 16 – 22, 2025",65,bakery,True,bakery
"Feb 23 – Mar 1, 2025",64,bakery,True,bakery
"Mar 2 – 8, 2025",69,bakery,True,bakery
"Mar 9 – 15, 2025",67,bakery,True,bakery
"Mar 16 – 22, 2025",69,bakery,True,bakery
"Mar 23 – 29, 2025",68,bakery,True,bakery
"Mar 30 – Apr 5, 2025",64,bakery,True,bakery
"Apr 6 – 12, 2025",63,bakery,True,bakery
"Apr 13 – 19, 2025",73,bakery,True,bakery
"Apr 20 – 26, 2025",71,bakery,True,bakery
"Apr 27 – May 3, 2025",73,bakery,True,bakery
"May 4 – 10, 2025",72,bakery,True,bakery
"May 11 – 17, 2025",82,bakery,True,bakery
"May 18 – 24, 2025",70,bakery,True,bakery
"May 25 – 31, 2025",71,bakery,True,bakery
"Jun 1 – 7, 2025",73,bakery,True,bakery
"Jun 8 – 14, 2025",73,bakery,True,bakery
"Jun 15 – 21, 2025",76,bakery,True,bakery
"Jun 22 – 28, 2025",73,bakery,True,bakery
"Jun 29 – Jul 5, 2025",73,bakery,True,bakery
"Jul 6 – 12, 2025",74,bakery,True,bakery
"Jul 13 – 19, 2025",73,bakery,True,bakery
"Jul 20 – 26, 2025",69,bakery,True,bakery
"Jul 27 – Aug 2, 2025",73,bakery,True,bakery
"Aug 3 – 9, 2025",75,bakery,True,bakery
"Aug 10 – 16, 2025",76,bakery,True,bakery
"Aug 17 – 23, 2025",75,bakery,True,bakery
"Aug 24 – 30, 2025",73,bakery,True,bakery
"Aug 31 – Sep 6, 2025",75,bakery,True,bakery
"Sep 7 – 13, 2025",71,bakery,True,bakery
"Sep 14 – 20, 2025",67,bakery,True,bakery
"Sep 21 – 27, 2025",64,bakery,True,bakery
"Sep 28 – Oct 4, 2025",66,bakery,True,bakery
"Sep 29 – Oct 5, 2024",0,bakery services,True,bakery services
"Oct 6 – 12, 2024",0,bakery services,True,bakery services
"Oct 13 – 19, 2024",0,bakery services,True,bakery services
"Oct 20 – 26, 2024",0,bakery services,True,bakery services
"Oct 27 – Nov 2, 2024",0,bakery services,True,bakery services
"Nov 3 – 9, 2024",0,bakery services,True,bakery services
"Nov 10 – 16, 2024",0,bakery services,True,bakery services
"Nov 17 – 23, 2024",0,bakery services,True,bakery services
"Nov 24 – 30, 2024",0,bakery services,True,bakery services
"Dec 1 – 7, 2024",0,bakery services,True,bakery services
"Dec 8 – 14, 2024",0,bakery services,True,bakery services
"Dec 15 – 21, 2024",0,bakery services,True,bakery services
"Dec 22 – 28, 2024",0,bakery services,True,bakery services
"Dec 29, 2024 – Jan 4, 2025",0,bakery services,True,bakery services
"Jan 5 – 11, 2025",0,bakery services,True,bakery services
"Jan 12 – 18, 2025",0,bakery services,True,bakery services
"Jan 19 – 25, 2025",0,bakery services,True,bakery services
"Jan 26 – Feb 1, 2025",0,bakery services,True,bakery services
"Feb 2 – 8, 2025",0,bakery services,True,bakery services
"Feb 9 – 15, 2025",0,bakery services,True,bakery services
"Feb 16 – 22, 2025",0,bakery services,True,bakery services
