description,rating,latitude,open_now,website,price_level,longitude,user_ratings_total,phone_number,address,hours,name,types
Professional bakery services in ,4.1,22.310788768592577,False,https://www.bakery1.com,4,78.64708928276455,226,+91 9386831236,"321 Downtown Area, ",9:00 AM - 6:00 PM,Oven Fresh 1,"['bakery', 'local_business']"
Professional bakery services in ,3.9,22.313714567617176,True,https://www.bakery2.com,2,78.74312586094497,135,+91 9478773632,"159 City Center, ",9:00 AM - 6:00 PM,Fresh Bread 2,"['bakery', 'local_business']"
Professional bakery services in ,4.3,22.38734544573651,True,https://www.bakery3.com,1,78.66723487674022,81,+91 9176468507,"654 Commercial Complex, ",9:00 AM - 6:00 PM,Daily Bread 3,"['bakery', 'local_business']"
Professional bakery services in ,4.2,22.374207443349665,True,https://www.bakery4.com,3,78.68616116907253,95,+91 9611061189,"321 Downtown Area, ",9:00 AM - 6:00 PM,Artisan Bakes 4,"['bakery', 'local_business']"
Professional bakery services in ,4.6,22.363043505754113,False,https://www.bakery5.com,3,78.60624279197818,622,+91 9491291323,"456 Central Avenue, ",9:00 AM - 6:00 PM,Fresh Bread 5,"['bakery', 'local_business']"
Professional bakery services in ,4.4,22.356463136150754,False,https://www.bakery6.com,4,78.68900338062234,285,+91 9335437554,"321 Downtown Area, ",9:00 AM - 6:00 PM,Fresh Bread 6,"['bakery', 'local_business']"
Professional bakery services in ,4.1,22.317569403044477,True,https://www.bakery7.com,2,78.63593261611177,149,+91 9134571081,"753 Shopping Area, ",9:00 AM - 6:00 PM,Oven Fresh 7,"['bakery', 'local_business']"
Professional bakery services in ,4.5,22.284548962590573,False,https://www.bakery8.com,4,78.6925671664548,181,+91 9514690293,"753 Shopping Area, ",9:00 AM - 6:00 PM,Golden Crust 8,"['bakery', 'local_business']"
Professional bakery services in ,4.3,22.316818956330927,False,https://www.bakery9.com,3,78.64035172021825,263,+91 9286080894,"654 Commercial Complex, ",9:00 AM - 6:00 PM,Oven Fresh 9,"['bakery', 'local_business']"
Professional bakery services in ,4.6,22.301992633319404,False,https://www.bakery10.com,3,78.72692727074642,324,+91 9943385994,"159 City Center, ",9:00 AM - 6:00 PM,Golden Crust 10,"['bakery', 'local_business']"
Professional bakery services in ,4.0,22.38244921047042,False,https://www.bakery11.com,1,78.6203027699337,165,+91 9718589477,"123 Main Road, ",9:00 AM - 6:00 PM,Morning Fresh 11,"['bakery', 'local_business']"
Professional bakery services in ,4.5,22.29798267108448,True,https://www.bakery12.com,4,78.69300514255993,38,+91 9731915965,"753 Shopping Area, ",9:00 AM - 6:00 PM,Morning Fresh 12,"['bakery', 'local_business']"
Professional bakery services in ,4.5,22.273135913663147,True,https://www.bakery13.com,4,78.61697133141068,344,+91 9134725802,"789 Market Street, ",9:00 AM - 6:00 PM,Morning Fresh 13,"['bakery', 'local_business']"
Professional bakery services in ,3.8,22.3882138933609,True,https://www.bakery14.com,4,78.68705064147662,160,+91 9262177798,"159 City Center, ",9:00 AM - 6:00 PM,Oven Fresh 14,"['bakery', 'local_business']"
Professional bakery services in ,3.6,22.29942420391353,False,https://www.bakery15.com,4,78.70703223394096,172,+91 9193195497,"987 Business District, ",9:00 AM - 6:00 PM,Oven Fresh 15,"['bakery', 'local_business']"
Professional bakery services in ,4.1,22.288090140903336,False,https://www.bakery16.com,3,78.68079876239432,257,+91 9541473413,"321 Downtown Area, ",9:00 AM - 6:00 PM,Morning Fresh 16,"['bakery', 'local_business']"
Professional bakery services in ,3.6,22.37460010057348,True,https://www.bakery17.com,3,78.72518645650442,243,+91 9989212586,"789 Market Street, ",9:00 AM - 6:00 PM,Sweet Delights 17,"['bakery', 'local_business']"
Professional bakery services in ,3.8,22.304666519099463,False,https://www.bakery18.com,3,78.62026769285866,181,+91 9689177880,"159 City Center, ",9:00 AM - 6:00 PM,Golden Crust 18,"['bakery', 'local_business']"
Professional bakery services in ,4.1,22.327675801101442,False,https://www.bakery19.com,1,78.64497877796711,263,+91 9852770105,"789 Market Street, ",9:00 AM - 6:00 PM,Daily Bread 19,"['bakery', 'local_business']"
Professional bakery services in ,3.9,22.290736424897062,True,https://www.bakery20.com,1,78.6410776739575,331,+91 9236646712,"321 Downtown Area, ",9:00 AM - 6:00 PM,Oven Fresh 20,"['bakery', 'local_business']"
Professional bakery services in ,4.8,22.37246098845837,False,https://www.bakery21.com,3,78.63542794823478,361,+91 9758595136,"321 Downtown Area, ",9:00 AM - 6:00 PM,Oven Fresh 21,"['bakery', 'local_business']"
Professional bakery services in ,3.9,22.37041269173594,False,https://www.bakery22.com,4,78.73202944695022,205,+91 9180818574,"456 Central Avenue, ",9:00 AM - 6:00 PM,Daily Bread 22,"['bakery', 'local_business']"
