latitude,website,reviews,thumbnail,description,address,type,price_level,position,hours,rating,name,phone,longitude
19.9913306,,945,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nryFIin8QnCvD97vt9pLQRBCtAAgTjfVe4muwUQOJsVGl9rSyhJIIqDa2EnLUD-3dZYuwFTRY4pvM7Vh6KM0iLB1-gip4fvyFgnM33aa7sqMIfW-fsLdBAQWXgdkrn6P6gR4j40iw=w122-h92-k-no,"Casual cafe for hot drinks & global fare. Down-to-earth café with outdoor seating fixing up regional & global staples, plus tea & coffee.","Coffee Junction, opposite City Center, Lavate Nager, Parijat Nagar, Nashik, Maharashtra 422002, India",Coffee shop,0,1,Closed ⋅ Opens 11 AM,3.9,Coffee Junction 24hrs,,73.7618033
20.0066483,,824,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noTWEe3WsWjjbG-AXjdoWhp9HH5tHB606gLu7m4hzMvLGNB-hmwFVikbwuvBBbI-ol9UuV5hudpIaUkQ-grK7vKpYOdLuo-LzS9MbYtcSbGqh5PQJNCdc_CNH-7YekZ2_OqaoI=w122-h92-k-no,"Relaxed chain for coffee & light meals. All-day breakfast & cafe lunches, plus signature coffee blends, in an established, casual chain.","Pranav Apartment, Shop No-3&4 Besides Facelook Salon, Patil Lane, 4, College Rd, Nashik, Maharashtra 422005, India",Cafe,0,2,Closed ⋅ Opens 9:30 AM,4.4,COFFEE CLUB NX,094212 90675,73.7657667
19.9906886,,151,https://lh3.googleusercontent.com/p/AF1QipMusdcvs_cBY43ok1OtjEeP0_hPe_bpR9rTnI4=w80-h106-k-no,,"Second floor, Emporio Cafe, Centre Mall, CCM Lawate Nagar, Untwadi Rd, opp. Crossword Book Store, Lavate Nager, Parijat Nagar, Nashik, Maharashtra 422002, India",Coffee shop,0,3,Closed ⋅ Opens 11 AM,4.7,Emporio Coffee Lounge (Best Coffee Shop at CCM),084828 16555,73.7618778
20.005182,,624,https://lh3.googleusercontent.com/p/AF1QipMa1x2a2jW8Vt4f1mUpRnt61VVepdZD1w9f8o10=w122-h92-k-no,,"Shop No G29-30, S.K Open Mall, College Rd, Ramdas Colony, Nashik, Maharashtra 422005, India",Coffee shop,0,4,Closed ⋅ Opens 10 AM,4.6,Pokket cafe College Road,085303 68669,73.7633887
20.0133272,,1170,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noT9nbVwaDClHqwV0bcswSCNeLJaJNruUtzfa2XkO6YWz1WATveyVlN5m0aOHoszWMsP3uPNC7U2jWRm5l3w1iJ0EOf2HygRUnqanW1L7gIeP3gm1ocujB3Fyo7FFyCLXKvq8RPUg=w122-h92-k-no,Chill hangout for coffee & light bites. Coffee shop serving various drinks & light Indian fare in a relaxed atmosphere with outdoor tables.,"6 Rushiraj Tower Jehan Circle, Gangapur Rd, Nashik, Maharashtra 422013, India",Coffee shop,0,5,Closed ⋅ Opens 3 PM,4.1,Cafe Bliss,084849 52735,73.7562088
19.9801245,,42,https://lh3.googleusercontent.com/p/AF1QipMDPgSzSWjiPI9IWdIqVu1hwPQ1dvuT1csVvRcX=w93-h92-k-no,,"Shop no 9, Suncity, Kharjul mala, Takali Marg, next to KTS bar and restaurant, Pushpak Nagar, Lokhande Mala, Nashik Road, Nashik, Maharashtra 422006, India",Coffee shop,0,6,Closed ⋅ Opens 8 AM,4.9,South Indian Filter Coffee Nashik,090964 25590,73.82805239999999
20.0020086,,743,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrzzEiTyNv7hQBQbi6PVn3ai-93k-e1oVDH3vl5YEAb-RVm6AN5SbfCRgTCzxEAqghjq4JTQ5H1C-gU4cJCg2APmNthWhMwzKo5RMaDdK_Uc0y2OhFt_0RNlRXn7MKtqYfup8cY=w80-h106-k-no,,"Shraddha Mall Marg, Anandwan Colony, Krishi Nagar, Nashik, Maharashtra 422005, India",Coffee shop,0,7,Closed ⋅ Opens 7 AM,3.9,Chai tapri Best cafe in Nasik,084848 29129,73.7622047
19.9610603,,68,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrAUmu7min1JisoiFMeOZvE4EXzI7q8RRCQDLlFKpZjlP4zAG5ZS8mjFDf_GiwCpWRAcXTcHdHEpbKJEByvvFRhprt6WSuYxudjzz2Qg3gmNkegYGzrnzVOP5o5nhoqyB4hUrEr=w80-h106-k-no,,"Sambhaji Stadium Rd, Ashwin Nagar, Nashik, Maharashtra 422009, India",Coffee shop,0,8,,5.0,CAFE MANTRALAY,,73.75839859999999
20.0111842,,173,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqAspSO5ISyWo1U-3Dgu1jEtcLJ4kovwh1FafH-OmfJxB1LsbBPUB-FA--rn0GUZcKRUZDdSDt45MMPk79uVnIg-ZtDLpugrZeSupAAD70OCJU3ITgB8AiwuaShx0cMyqZ1LMPv=w80-h106-k-no,,"Shop No. 3, Aditya B Society, Gangapur Rd, Samarth Chowk, D'souza Colony, Nashik, Maharashtra 422013, India",Coffee shop,0,9,Closed ⋅ Opens 9:30 AM,4.4,All That's Coffee,099703 66649,73.7583239
20.004964,http://www.karmveeramruttulyaindia.com/,1103,https://lh3.googleusercontent.com/p/AF1QipNUwTVziUhHG87tv3AIidMRrdc7KMgIG2ZNvPm3=w122-h92-k-no,,"Opp. Ananda Loundry, Thakkar Nagar, Pandit Colony, Nashik, Maharashtra 422002, India",Coffee shop,0,10,Closed ⋅ Opens 9 AM,4.4,Karmveer Amruttulya Cafe Pandit Colony Nashik,099222 58112,73.775945
