value,date,formatted_value,has_data,query
78,"Sep 29 – Oct 5, 2024",coffee shop,True,coffee shop
76,"Oct 6 – 12, 2024",coffee shop,True,coffee shop
76,"Oct 13 – 19, 2024",coffee shop,True,coffee shop
75,"Oct 20 – 26, 2024",coffee shop,True,coffee shop
74,"Oct 27 – Nov 2, 2024",coffee shop,True,coffee shop
82,"Nov 3 – 9, 2024",coffee shop,True,coffee shop
86,"Nov 10 – 16, 2024",coffee shop,True,coffee shop
80,"Nov 17 – 23, 2024",coffee shop,True,coffee shop
87,"Nov 24 – 30, 2024",coffee shop,True,coffee shop
89,"Dec 1 – 7, 2024",coffee shop,True,coffee shop
86,"Dec 8 – 14, 2024",coffee shop,True,coffee shop
96,"Dec 15 – 21, 2024",coffee shop,True,coffee shop
96,"Dec 22 – 28, 2024",coffee shop,True,coffee shop
100,"Dec 29, 2024 – Jan 4, 2025",coffee shop,True,coffee shop
82,"Jan 5 – 11, 2025",coffee shop,True,coffee shop
86,"Jan 12 – 18, 2025",coffee shop,True,coffee shop
85,"Jan 19 – 25, 2025",coffee shop,True,coffee shop
81,"Jan 26 – Feb 1, 2025",coffee shop,True,coffee shop
84,"Feb 2 – 8, 2025",coffee shop,True,coffee shop
79,"Feb 9 – 15, 2025",coffee shop,True,coffee shop
78,"Feb 16 – 22, 2025",coffee shop,True,coffee shop
78,"Feb 23 – Mar 1, 2025",coffee shop,True,coffee shop
83,"Mar 2 – 8, 2025",coffee shop,True,coffee shop
79,"Mar 9 – 15, 2025",coffee shop,True,coffee shop
83,"Mar 16 – 22, 2025",coffee shop,True,coffee shop
72,"Mar 23 – 29, 2025",coffee shop,True,coffee shop
81,"Mar 30 – Apr 5, 2025",coffee shop,True,coffee shop
83,"Apr 6 – 12, 2025",coffee shop,True,coffee shop
85,"Apr 13 – 19, 2025",coffee shop,True,coffee shop
76,"Apr 20 – 26, 2025",coffee shop,True,coffee shop
75,"Apr 27 – May 3, 2025",coffee shop,True,coffee shop
73,"May 4 – 10, 2025",coffee shop,True,coffee shop
83,"May 11 – 17, 2025",coffee shop,True,coffee shop
83,"May 18 – 24, 2025",coffee shop,True,coffee shop
77,"May 25 – 31, 2025",coffee shop,True,coffee shop
84,"Jun 1 – 7, 2025",coffee shop,True,coffee shop
95,"Jun 8 – 14, 2025",coffee shop,True,coffee shop
80,"Jun 15 – 21, 2025",coffee shop,True,coffee shop
82,"Jun 22 – 28, 2025",coffee shop,True,coffee shop
91,"Jun 29 – Jul 5, 2025",coffee shop,True,coffee shop
82,"Jul 6 – 12, 2025",coffee shop,True,coffee shop
82,"Jul 13 – 19, 2025",coffee shop,True,coffee shop
78,"Jul 20 – 26, 2025",coffee shop,True,coffee shop
82,"Jul 27 – Aug 2, 2025",coffee shop,True,coffee shop
84,"Aug 3 – 9, 2025",coffee shop,True,coffee shop
95,"Aug 10 – 16, 2025",coffee shop,True,coffee shop
80,"Aug 17 – 23, 2025",coffee shop,True,coffee shop
74,"Aug 24 – 30, 2025",coffee shop,True,coffee shop
80,"Aug 31 – Sep 6, 2025",coffee shop,True,coffee shop
75,"Sep 7 – 13, 2025",coffee shop,True,coffee shop
75,"Sep 14 – 20, 2025",coffee shop,True,coffee shop
73,"Sep 21 – 27, 2025",coffee shop,True,coffee shop
79,"Sep 28 – Oct 4, 2025",coffee shop,True,coffee shop
0,"Sep 29 – Oct 5, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Oct 6 – 12, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Oct 13 – 19, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Oct 20 – 26, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Oct 27 – Nov 2, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Nov 3 – 9, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Nov 10 – 16, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Nov 17 – 23, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Nov 24 – 30, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Dec 1 – 7, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Dec 8 – 14, 2024",coffee shop Nashik,True,coffee shop Nashik
100,"Dec 15 – 21, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Dec 22 – 28, 2024",coffee shop Nashik,True,coffee shop Nashik
0,"Dec 29, 2024 – Jan 4, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jan 5 – 11, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jan 12 – 18, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jan 19 – 25, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jan 26 – Feb 1, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Feb 2 – 8, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Feb 9 – 15, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Feb 16 – 22, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Feb 23 – Mar 1, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Mar 2 – 8, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Mar 9 – 15, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Mar 16 – 22, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Mar 23 – 29, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Mar 30 – Apr 5, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Apr 6 – 12, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Apr 13 – 19, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Apr 20 – 26, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Apr 27 – May 3, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"May 4 – 10, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"May 11 – 17, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"May 18 – 24, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"May 25 – 31, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jun 1 – 7, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jun 8 – 14, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jun 15 – 21, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jun 22 – 28, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jun 29 – Jul 5, 2025",coffee shop Nashik,True,coffee shop Nashik
86,"Jul 6 – 12, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jul 13 – 19, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jul 20 – 26, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Jul 27 – Aug 2, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Aug 3 – 9, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Aug 10 – 16, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Aug 17 – 23, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Aug 24 – 30, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Aug 31 – Sep 6, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Sep 7 – 13, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Sep 14 – 20, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Sep 21 – 27, 2025",coffee shop Nashik,True,coffee shop Nashik
0,"Sep 28 – Oct 4, 2025",coffee shop Nashik,True,coffee shop Nashik
