address,latitude,website,description,longitude,open_now,hours,price_level,name,rating,user_ratings_total,phone_number,types
"321 Downtown Area, ",22.359752398191613,https://www.coffeeshop1.com,Professional coffee shop services in ,78.59101631839488,False,9:00 AM - 6:00 PM,3,Daily Grind 1,5.0,108,+91 9543194869,"['coffee_shop', 'local_business']"
"321 Downtown Area, ",22.423751719528532,https://www.coffeeshop2.com,Professional coffee shop services in ,78.65708365423426,True,9:00 AM - 6:00 PM,2,Steamy Cups 2,4.4,111,+91 9148043324,"['coffee_shop', 'local_business']"
"321 Downtown Area, ",22.335758432130252,https://www.coffeeshop3.com,Professional coffee shop services in ,78.63028364925208,True,9:00 AM - 6:00 PM,1,Brew Haven 3,4.0,147,+91 9412719025,"['coffee_shop', 'local_business']"
"753 Shopping Area, ",22.405850533079544,https://www.coffeeshop4.com,Professional coffee shop services in ,78.70621089515252,False,9:00 AM - 6:00 PM,1,Daily Grind 4,4.5,25,+91 9897468883,"['coffee_shop', 'local_business']"
"753 Shopping Area, ",22.415335689883058,https://www.coffeeshop5.com,Professional coffee shop services in ,78.70233039413105,True,9:00 AM - 6:00 PM,4,Brew Haven 5,4.1,241,+91 9302593340,"['coffee_shop', 'local_business']"
"123 Main Road, ",22.424695814013162,https://www.coffeeshop6.com,Professional coffee shop services in ,78.59103796998629,False,9:00 AM - 6:00 PM,1,Daily Grind 6,4.1,222,+91 9352787204,"['coffee_shop', 'local_business']"
"789 Market Street, ",22.394609154171636,https://www.coffeeshop7.com,Professional coffee shop services in ,78.59112294061111,True,9:00 AM - 6:00 PM,2,Steamy Cups 7,3.5,175,+91 9723077607,"['coffee_shop', 'local_business']"
"789 Market Street, ",22.28699341302096,https://www.coffeeshop8.com,Professional coffee shop services in ,78.67159005849221,False,9:00 AM - 6:00 PM,1,Brew Haven 8,4.1,198,+91 9843074168,"['coffee_shop', 'local_business']"
"321 Downtown Area, ",22.309311909972624,https://www.coffeeshop9.com,Professional coffee shop services in ,78.70047439193684,True,9:00 AM - 6:00 PM,4,Brew Haven 9,4.7,519,+91 9920582704,"['coffee_shop', 'local_business']"
"159 City Center, ",22.299209642394555,https://www.coffeeshop10.com,Professional coffee shop services in ,78.62724502626766,True,9:00 AM - 6:00 PM,3,Daily Grind 10,3.9,153,+91 9891744313,"['coffee_shop', 'local_business']"
"789 Market Street, ",22.320278449963137,https://www.coffeeshop11.com,Professional coffee shop services in ,78.59329060185341,False,9:00 AM - 6:00 PM,4,Bean There 11,4.6,191,+91 9798525276,"['coffee_shop', 'local_business']"
"789 Market Street, ",22.35879074705498,https://www.coffeeshop12.com,Professional coffee shop services in ,78.67772965649282,True,9:00 AM - 6:00 PM,2,Cafe Aroma 12,4.0,171,+91 9480794403,"['coffee_shop', 'local_business']"
"753 Shopping Area, ",22.292453497699615,https://www.coffeeshop13.com,Professional coffee shop services in ,78.61461449672663,False,9:00 AM - 6:00 PM,4,Bean There 13,4.1,126,+91 9451595018,"['coffee_shop', 'local_business']"
"456 Central Avenue, ",22.376200892075126,https://www.coffeeshop14.com,Professional coffee shop services in ,78.62369790909392,True,9:00 AM - 6:00 PM,2,Bean There 14,4.1,283,+91 9421998293,"['coffee_shop', 'local_business']"
"987 Business District, ",22.29346406082554,https://www.coffeeshop15.com,Professional coffee shop services in ,78.61543365707627,False,9:00 AM - 6:00 PM,3,Coffee Corner 15,4.0,63,+91 9643466980,"['coffee_shop', 'local_business']"
"987 Business District, ",22.37041629613557,https://www.coffeeshop16.com,Professional coffee shop services in ,78.5897834272796,False,9:00 AM - 6:00 PM,3,Bean There 16,4.3,37,+91 9216635443,"['coffee_shop', 'local_business']"
"159 City Center, ",22.391229968443685,https://www.coffeeshop17.com,Professional coffee shop services in ,78.66746205640457,True,9:00 AM - 6:00 PM,3,Steamy Cups 17,4.3,297,+91 9847575625,"['coffee_shop', 'local_business']"
"321 Downtown Area, ",22.304521692569967,https://www.coffeeshop18.com,Professional coffee shop services in ,78.66426571884848,True,9:00 AM - 6:00 PM,4,Daily Grind 18,4.6,472,+91 9566733862,"['coffee_shop', 'local_business']"
"159 City Center, ",22.384863227183185,https://www.coffeeshop19.com,Professional coffee shop services in ,78.70040095287781,False,9:00 AM - 6:00 PM,2,Brew Haven 19,4.3,183,+91 9413319535,"['coffee_shop', 'local_business']"
"987 Business District, ",22.35530668861097,https://www.coffeeshop20.com,Professional coffee shop services in ,78.68275711440548,False,9:00 AM - 6:00 PM,3,Bean There 20,4.9,308,+91 9471458223,"['coffee_shop', 'local_business']"
