hasData,isPartial,date,geo,relatedQueries,value,query,formattedValue
True,False,2025-07-04,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",68,famous bussiness,68
True,False,2025-07-11,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",67,famous bussiness,67
True,False,2025-07-18,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",70,famous bussiness,70
True,False,2025-07-25,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",72,famous bussiness,72
True,False,2025-08-01,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",75,famous bussiness,75
True,False,2025-08-08,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",78,famous bussiness,78
True,False,2025-08-15,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",78,famous bussiness,78
True,False,2025-08-22,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",79,famous bussiness,79
True,False,2025-08-29,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",84,famous bussiness,84
True,False,2025-09-05,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",83,famous bussiness,83
True,False,2025-09-12,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",86,famous bussiness,86
True,False,2025-09-19,pune,"['famous bussiness near me', 'best famous bussiness in pune', 'famous bussiness services', 'affordable famous bussiness', 'professional famous bussiness']",91,famous bussiness,91
