value,date,formatted_value,has_data,query
88,"Sep 29 – Oct 5, 2024",pharmacy,True,pharmacy
86,"Oct 6 – 12, 2024",pharmacy,True,pharmacy
87,"Oct 13 – 19, 2024",pharmacy,True,pharmacy
93,"Oct 20 – 26, 2024",pharmacy,True,pharmacy
70,"Oct 27 – Nov 2, 2024",pharmacy,True,pharmacy
81,"Nov 3 – 9, 2024",pharmacy,True,pharmacy
84,"Nov 10 – 16, 2024",pharmacy,True,pharmacy
89,"Nov 17 – 23, 2024",pharmacy,True,pharmacy
84,"Nov 24 – 30, 2024",pharmacy,True,pharmacy
86,"Dec 1 – 7, 2024",pharmacy,True,pharmacy
88,"Dec 8 – 14, 2024",pharmacy,True,pharmacy
86,"Dec 15 – 21, 2024",pharmacy,True,pharmacy
76,"Dec 22 – 28, 2024",pharmacy,True,pharmacy
74,"Dec 29, 2024 – Jan 4, 2025",pharmacy,True,pharmacy
80,"Jan 5 – 11, 2025",pharmacy,True,pharmacy
75,"Jan 12 – 18, 2025",pharmacy,True,pharmacy
79,"Jan 19 – 25, 2025",pharmacy,True,pharmacy
81,"Jan 26 – Feb 1, 2025",pharmacy,True,pharmacy
77,"Feb 2 – 8, 2025",pharmacy,True,pharmacy
74,"Feb 9 – 15, 2025",pharmacy,True,pharmacy
72,"Feb 16 – 22, 2025",pharmacy,True,pharmacy
72,"Feb 23 – Mar 1, 2025",pharmacy,True,pharmacy
78,"Mar 2 – 8, 2025",pharmacy,True,pharmacy
75,"Mar 9 – 15, 2025",pharmacy,True,pharmacy
85,"Mar 16 – 22, 2025",pharmacy,True,pharmacy
75,"Mar 23 – 29, 2025",pharmacy,True,pharmacy
73,"Mar 30 – Apr 5, 2025",pharmacy,True,pharmacy
83,"Apr 6 – 12, 2025",pharmacy,True,pharmacy
76,"Apr 13 – 19, 2025",pharmacy,True,pharmacy
81,"Apr 20 – 26, 2025",pharmacy,True,pharmacy
82,"Apr 27 – May 3, 2025",pharmacy,True,pharmacy
85,"May 4 – 10, 2025",pharmacy,True,pharmacy
92,"May 11 – 17, 2025",pharmacy,True,pharmacy
84,"May 18 – 24, 2025",pharmacy,True,pharmacy
88,"May 25 – 31, 2025",pharmacy,True,pharmacy
86,"Jun 1 – 7, 2025",pharmacy,True,pharmacy
97,"Jun 8 – 14, 2025",pharmacy,True,pharmacy
100,"Jun 15 – 21, 2025",pharmacy,True,pharmacy
97,"Jun 22 – 28, 2025",pharmacy,True,pharmacy
98,"Jun 29 – Jul 5, 2025",pharmacy,True,pharmacy
91,"Jul 6 – 12, 2025",pharmacy,True,pharmacy
95,"Jul 13 – 19, 2025",pharmacy,True,pharmacy
87,"Jul 20 – 26, 2025",pharmacy,True,pharmacy
88,"Jul 27 – Aug 2, 2025",pharmacy,True,pharmacy
86,"Aug 3 – 9, 2025",pharmacy,True,pharmacy
92,"Aug 10 – 16, 2025",pharmacy,True,pharmacy
84,"Aug 17 – 23, 2025",pharmacy,True,pharmacy
83,"Aug 24 – 30, 2025",pharmacy,True,pharmacy
82,"Aug 31 – Sep 6, 2025",pharmacy,True,pharmacy
83,"Sep 7 – 13, 2025",pharmacy,True,pharmacy
82,"Sep 14 – 20, 2025",pharmacy,True,pharmacy
85,"Sep 21 – 27, 2025",pharmacy,True,pharmacy
71,"Sep 28 – Oct 4, 2025",pharmacy,True,pharmacy
52,"Sep 29 – Oct 5, 2024",pharmacy Pune,True,pharmacy Pune
82,"Oct 6 – 12, 2024",pharmacy Pune,True,pharmacy Pune
57,"Oct 13 – 19, 2024",pharmacy Pune,True,pharmacy Pune
44,"Oct 20 – 26, 2024",pharmacy Pune,True,pharmacy Pune
19,"Oct 27 – Nov 2, 2024",pharmacy Pune,True,pharmacy Pune
23,"Nov 3 – 9, 2024",pharmacy Pune,True,pharmacy Pune
29,"Nov 10 – 16, 2024",pharmacy Pune,True,pharmacy Pune
26,"Nov 17 – 23, 2024",pharmacy Pune,True,pharmacy Pune
27,"Nov 24 – 30, 2024",pharmacy Pune,True,pharmacy Pune
30,"Dec 1 – 7, 2024",pharmacy Pune,True,pharmacy Pune
36,"Dec 8 – 14, 2024",pharmacy Pune,True,pharmacy Pune
28,"Dec 15 – 21, 2024",pharmacy Pune,True,pharmacy Pune
25,"Dec 22 – 28, 2024",pharmacy Pune,True,pharmacy Pune
23,"Dec 29, 2024 – Jan 4, 2025",pharmacy Pune,True,pharmacy Pune
28,"Jan 5 – 11, 2025",pharmacy Pune,True,pharmacy Pune
26,"Jan 12 – 18, 2025",pharmacy Pune,True,pharmacy Pune
31,"Jan 19 – 25, 2025",pharmacy Pune,True,pharmacy Pune
29,"Jan 26 – Feb 1, 2025",pharmacy Pune,True,pharmacy Pune
22,"Feb 2 – 8, 2025",pharmacy Pune,True,pharmacy Pune
21,"Feb 9 – 15, 2025",pharmacy Pune,True,pharmacy Pune
22,"Feb 16 – 22, 2025",pharmacy Pune,True,pharmacy Pune
20,"Feb 23 – Mar 1, 2025",pharmacy Pune,True,pharmacy Pune
26,"Mar 2 – 8, 2025",pharmacy Pune,True,pharmacy Pune
23,"Mar 9 – 15, 2025",pharmacy Pune,True,pharmacy Pune
26,"Mar 16 – 22, 2025",pharmacy Pune,True,pharmacy Pune
28,"Mar 23 – 29, 2025",pharmacy Pune,True,pharmacy Pune
23,"Mar 30 – Apr 5, 2025",pharmacy Pune,True,pharmacy Pune
21,"Apr 6 – 12, 2025",pharmacy Pune,True,pharmacy Pune
29,"Apr 13 – 19, 2025",pharmacy Pune,True,pharmacy Pune
23,"Apr 20 – 26, 2025",pharmacy Pune,True,pharmacy Pune
25,"Apr 27 – May 3, 2025",pharmacy Pune,True,pharmacy Pune
43,"May 4 – 10, 2025",pharmacy Pune,True,pharmacy Pune
42,"May 11 – 17, 2025",pharmacy Pune,True,pharmacy Pune
44,"May 18 – 24, 2025",pharmacy Pune,True,pharmacy Pune
44,"May 25 – 31, 2025",pharmacy Pune,True,pharmacy Pune
41,"Jun 1 – 7, 2025",pharmacy Pune,True,pharmacy Pune
48,"Jun 8 – 14, 2025",pharmacy Pune,True,pharmacy Pune
